date,opponent,location,in_top25,media,label
9/5/15,Texas,Home,Out,1-NBC,Win
9/12/15,Virginia,Away,Out,4-ABC,Win
9/19/15,GeorgiaTech,Home,In,1-NBC,Win
9/26/15,UMass,Home,Out,1-NBC,Win
10/3/15,Clemson,Away,In,4-ABC,Lose
10/10/15,Navy,Home,Out,1-NBC,Win
10/17/15,USC,Home,In,1-NBC,Win
10/31/15,Temple,Away,Out,4-ABC,Win
11/7/15,PITT,Away,Out,4-ABC,Win
11/14/15,WakeForest,Home,Out,1-NBC,Win
11/21/15,BostonCollege,Away,Out,1-NBC,Win
11/28/15,Stanford,Away,In,3-FOX,Lose
9/4/16,Texas,Away,Out,4-ABC,Lose
9/10/16,Nevada,Home,Out,1-NBC,Win
9/17/16,MichiganState,Home,Out,1-NBC,Lose
9/24/16,Duke,Home,Out,1-NBC,Lose
10/1/16,Syracuse,Home,Out,2-ESPN,Win
10/8/16,NorthCarolinaState,Away,Out,4-ABC,Lose
10/15/16,Stanford,Home,In,1-NBC,Lose
10/29/16,MiamiFlorida,Home,Out,1-NBC,Win
11/5/16,Navy,Home,Out,1-NBC,Lose
11/12/16,Army,Home,Out,1-NBC,Win
11/19/16,VirginiaTech,Home,In,1-NBC,Lose
11/26/16,USC,Away,In,4-ABC,Lose
